Pts,server_points_to_win,server_points_to_loss,returner_points_to_win,returner_points_to_loss,server_returner_points_gap,returner_server_points_gap,server_points_to_win_norm,server_points_to_loss_norm,returner_points_to_win_norm,returner_points_to_loss_norm,server_returner_points_gap_norm,returner_server_points_gap_norm
0-0,4,4,4,4,0,0,1,1,1,1,0,0
0-15,4,3,3,4,-1,1,1,0.75,0.75,1,-0.333333333,0.333333333
0-30,4,2,2,4,-2,2,1,0.5,0.5,1,-0.666666667,0.666666667
0-40,5,1,1,5,-3,3,1.25,0.25,0.25,1.25,-1,1
15-0,3,4,4,3,1,-1,0.75,1,1,0.75,0.333333333,-0.333333333
15-15,3,3,3,3,0,0,0.75,0.75,0.75,0.75,0,0
15-30,3,2,2,3,-1,1,0.75,0.5,0.5,0.75,-0.333333333,0.333333333
15-40,4,1,1,4,-2,2,1,0.25,0.25,1,-0.666666667,0.666666667
30-0,2,4,4,2,2,-2,0.5,1,1,0.5,0.666666667,-0.666666667
30-15,2,3,3,2,1,-1,0.5,0.75,0.75,0.5,0.333333333,-0.333333333
30-30,2,2,2,2,0,0,0.5,0.5,0.5,0.5,0,0
30-40,3,1,1,3,-1,1,0.75,0.25,0.25,0.75,-0.333333333,0.333333333
40-0,1,5,5,1,3,-3,0.25,1.25,1.25,0.25,1,-1
40-15,1,4,4,1,2,-2,0.25,1,1,0.25,0.666666667,-0.666666667
40-30,1,3,3,1,1,-1,0.25,0.75,0.75,0.25,0.333333333,-0.333333333
40-40,2,2,2,2,0,0,0.5,0.5,0.5,0.5,0,0
40-AD,3,1,1,3,-1,1,0.75,0.25,0.25,0.75,-0.333333333,0.333333333
AD-40,1,2,2,1,1,-1,0.25,0.5,0.5,0.25,0.333333333,-0.333333333
